,epoch,score_threshold,person_instances,cyclist_instances,cars_instances,map_person,map_cyclist,map_cars,weighted_map,map,false_positives,true_positives,recall,precision
0,15,0.3,755,15,1088,0.4812828401473722,0.03333333333333333,0.6900999377157742,0.5999447128880668,0.4015720370654932,"0    [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, ...
1    [1.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, ...
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 2.0, 2.0, 3.0, 4.0, 5.0, 5.0, 6.0, 6.0, ...
1    [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0026490066225165563,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 1.0, 0.6666666666666666, 0.75, 0.8, 0.83...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
1,19,0.3,755,15,1088,0.5085629717059883,0.02222222222222222,0.693468620672424,0.6129129366323744,0.4080846048668782,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, ...
1    [1.0, 2.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, ...
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 4.0, 4.0, 4.0, 5.0, ...
1    [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.0, 0.06666666666666667, 0.066666666666...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.666...
1    [0.0, 0.0, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
2,55,0.3,755,15,1088,0.496809417221757,0.03333333333333333,0.6956340906628405,0.6094946182150683,0.40859228040597695,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
3,51,0.3,755,15,1088,0.496809417221757,0.03333333333333333,0.6956340906628405,0.6094946182150683,0.40859228040597695,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
4,10,0.3,755,15,1088,0.4900650641415242,0.02222222222222222,0.7006672139592157,0.6096116176253018,0.4043181667743207,"0    [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, ...
1        [1.0, 2.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 2.0, 3.0, 4.0, 5.0, 5.0, 6.0, 6.0, 7.0, ...
1        [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0026490066225165563,...
1    [0.0, 0.0, 0.06666666666666667, 0.066666666666...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, ...
1    [0.0, 0.0, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
5,31,0.3,755,15,1088,0.496420496144632,0.03333333333333333,0.6955049702186078,0.6092609699607333,0.40841959989885773,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
6,11,0.3,755,15,1088,0.5032401240581026,0.06666666666666667,0.706250326401981,0.6185934600587851,0.42538570570891676,"0    [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, ...
1             [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 2.0, 3.0, 4.0, 5.0, 5.0, 5.0, 6.0, 7.0, ...
1             [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0026490066225165563,...
1    [0.06666666666666667, 0.06666666666666667, 0.0...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, ...
1    [1.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
7,62,0.3,755,15,1088,0.496809417221757,0.03333333333333333,0.6956340906628405,0.6094946182150683,0.40859228040597695,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
8,32,0.3,755,15,1088,0.4968096509371467,0.03333333333333333,0.6956373679202987,0.6094966322684773,0.40859345073025954,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
9,58,0.3,755,15,1088,0.496809417221757,0.03333333333333333,0.6956340906628405,0.6094946182150683,0.40859228040597695,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
10,52,0.3,755,15,1088,0.496809417221757,0.03333333333333333,0.6956340906628405,0.6094946182150683,0.40859228040597695,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
11,21,0.3,755,15,1088,0.4993941360707358,0.03333333333333333,0.6995262221800482,0.612824059453874,0.41075123052803914,"0    [0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0, 6.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0026490066225165563,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 1.0, 0.6666666666666666, 0.5, 0.6, 0.666...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
12,29,0.3,755,15,1088,0.4949333182785526,0.03333333333333333,0.6977804036475117,0.6099890928249732,0.40868235175313256,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
13,68,0.3,755,15,1088,0.496809417221757,0.03333333333333333,0.6956340906628405,0.6094946182150683,0.40859228040597695,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
14,26,0.3,755,15,1088,0.498193597674626,0.03333333333333333,0.6919344168124277,0.6078906414081077,0.40782044927346234,"0    [0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0026490066225165563,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 1.0, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
15,5,0.3,755,15,1088,0.5027365770960186,0.06666666666666667,0.7082463809027804,0.619557684676921,0.42588320822182185,"0    [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, ...
1    [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, ...
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 2.0, 3.0, 4.0, 5.0, 5.0, 6.0, 7.0, 8.0, ...
1    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0026490066225165563,...
1    [0.06666666666666667, 0.06666666666666667, 0.0...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, ...
1    [1.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
16,8,0.3,755,15,1088,0.4892371432398203,0.02222222222222222,0.6958818711836321,0.606473009863934,0.4024470788818915,"0    [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
1                                      [1.0, 2.0, 2.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 2.0, 3.0, 4.0, 4.0, 5.0, 6.0, 7.0, 8.0, ...
1                                      [0.0, 0.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0026490066225165563,...
1                      [0.0, 0.0, 0.06666666666666667]
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 1.0, 1.0, 1.0, 0.8, 0.8333333333333334, ...
1                       [0.0, 0.0, 0.3333333333333333]
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
17,64,0.3,755,15,1088,0.496809417221757,0.03333333333333333,0.6956340906628405,0.6094946182150683,0.40859228040597695,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
18,30,0.3,755,15,1088,0.4962494701049174,0.03333333333333333,0.695333156367177,0.6090908633243817,0.4083053199351426,"0    [0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, ...
1                       [1.0, 1.0, 2.0, 3.0, 4.0, 5.0]
2    [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...
dtype: object","0    [1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, ...
1                       [0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2    [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, ...
dtype: object","0    [0.0013245033112582781, 0.0013245033112582781,...
1    [0.0, 0.06666666666666667, 0.06666666666666667...
2    [0.0009191176470588235, 0.001838235294117647, ...
dtype: object","0    [1.0, 0.5, 0.6666666666666666, 0.5, 0.6, 0.5, ...
1    [0.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16...
2    [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ...
dtype: object"
